Sebbene le informazioni contenute nel presente documento siano state ottenute da fonti ritenute affidabili, DWS non ne garantisce l’accuratezza, la completezza o l’equità e non deve essere invocata come tale. DWS non si assume alcuna responsabilità per errori, inesattezze o omissioni relativamente alle informazioni qui contenute, e non ha alcun obbligo di aggiornare, modificare o correggere le informazioni che dovessero risultare inesatte. DWS DECLINA ESPRESSAMENTE OGNI RESPONSABILITÀ PER EVENTUALI PERDITE O DANNI DIRETTI, INDIRETTI O DI ALTRA NATURA, IVI INCLUSO L’EVENTUALE LUCRO CESSANTE SUBITO DALL’INVESTITORE O DA TERZI E DERIVANTE DALL’AVER FATTO AFFIDAMENTO SUL PRESENTE DOCUMENTO, O PER LA SUA AFFIDABILITÀ, ACCURATEZZA, COMPLETEZZA O TEMPESTIVITÀ. Il presente documento è stato redatto esclusivamente a scopo informativo e non costituisce un’offerta, raccomandazione o sollecitazione a concludere transazioni.;;;;;;;;;;
;;;;;;;;;;
;Name;ISIN;Country;Currency;Exchange;Type of Security;Rating;Primary Listing;Industry Classification;Weighting
126;LOWES COMPANIES INC;US5486611073;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A3;S&P 500 Index;Beni voluttuari;0,14%
127;COMPAGNIE FINANCIERE RICHEMONT SA;CH0210483332;Svizzera;CHF;Scoach Switzerland;Azionari;-;Swiss Market Index;Beni voluttuari;0,14%
128;DELL TECHNOLOGIES INC CLASS C;US24703L2025;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Tecnologia dell'informazione;0,14%
129;INFINEON TECHNOLOGIES AG;DE0006231004;Germania;EUR;XETRA;Azionari;-;DAX Index;Tecnologia dell'informazione;0,14%
130;LAIR LIQUIDE SOCIETE ANONYME POUR;FR0000120073;Francia;EUR;Euronext Paris;Azionari;A1;CAC 40 Index;Materiali;0,14%
131;MIZUHO FINANCIAL GROUP INC;JP3885780001;Giappone;JPY;Tokyo Stock Exchange;Azionari;A2;TOPIX Index;Finanza;0,14%
132;SALESFORCE INC;US79466L3024;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Tecnologia dell'informazione;0,14%
133;VERTIV HOLDINGS CLASS A;US92537N1081;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Prodotti industriali;0,14%
134;CAPITAL ONE FINANCIAL CORP;US14040H1059;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;B1;S&P 500 Index;Finanza;0,13%
135;PARKER-HANNIFIN CORP;US7010941042;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A2;S&P 500 Index;Prodotti industriali;0,13%
136;PROGRESSIVE CORP;US7433151039;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Finanza;0,13%
137;ENBRIDGE INC;CA29250N1050;Canada;CAD;Toronto Stock Exchange;Azionari;Baa1;S&P/TSX COMPOSITE Index;Energia;0,13%
138;BANK OF MONTREAL;CA0636711016;Canada;CAD;Toronto Stock Exchange;Azionari;Aa3;S&P/TSX COMPOSITE Index;Finanza;0,13%
