05-giu-2026;;;;;;;;;;;
iShares Core MSCI Pacific ex-Japan UCITS ETF;;;;;;;;;;;
Inception Date;12/01/2010;;;;;;;;;;
Fund Holdings as of;05/06/2026;;;;;;;;;;
Number of Securities;93,00;;;;;;;;;;
Shares Outstanding;15.600.285,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
NZD;NZD CASH;Liquidità e/o derivati;Contanti;157.630,71;0,00;157.630,71;270.587,00;58,26;Nuova Zelanda;--;NZD
GBP;GBP CASH;Liquidità e/o derivati;Contanti;40.752,80;0,00;40.752,80;30.443,00;133,87;Regno unito;--;GBP
EUR;EUR CASH;Liquidità e/o derivati;Contanti;18.705,14;0,00;18.705,14;16.182,00;115,59;Unione Europea;--;EUR
AUD;AUD/USD;Liquidità e/o derivati;FX;-22,08;0,00;-22,08;5.520.814,00;1,00;Stati Uniti;--;USD
HKD;HKD/USD;Liquidità e/o derivati;FX;-5,05;0,00;-5,05;6.589.264,00;1,00;Stati Uniti;--;USD
SGD;SGD/USD;Liquidità e/o derivati;FX;-3,36;0,00;-3,36;698.030,00;1,00;Stati Uniti;--;USD
NZD;NZD/USD;Liquidità e/o derivati;FX;-0,58;0,00;-0,58;194.222,00;1,00;Stati Uniti;--;USD
QZM6;MSCI SING IX ETS JUN 26;Liquidità e/o derivati;Futures;0,00;0,00;3.819.782,78;106,00;360,36;--;Singapore Exchange Derivatives Clearing Limited;SGD
ZSSM6;MSCI HONG KONG INDEX JUN 26;Liquidità e/o derivati;Futures;0,00;0,00;4.456.260,00;57,00;78.180,00;--;Eurex Deutschland;USD
XPM6;SPI 200 JUN 26;Liquidità e/o derivati;Futures;0,00;0,00;15.882.824,62;104,00;6.108,78;--;Asx - Trade24;AUD
