Questo file è stato scaricato il 09 giu 2026;;;;;;
;;;;;;
Dati delle partecipazioni;;;;;;
Vanguard FTSE North America UCITS ETF (USD) Accumulating;;;;;;
Al 30 apr 2026;;;;;;
;;;;;;
Ticker;Nome delle partecipazioni;% del valore di mercato;Settore;Regione;Valore di mercato;Azioni
CCO;Cameco Corp;0,081%;Energy;CA;4.868.563,15 USD;39.685
CARR;Carrier Global Corp;0,0803%;Industrials;US;4.827.440,73 USD;71.869
ETR;Entergy Corp;0,0802%;Utilities;US;4.822.519,00 USD;40.900
AJG;Arthur J Gallagher & Co;0,0798%;Financials;US;4.796.116,80 USD;23.237
FTNT;Fortinet Inc;0,0794%;Technology;US;4.774.306,68 USD;56.628
NKE;NIKE Inc;0,0791%;Consumer Discretionary;US;4.751.931,92 USD;107.122
NUE;Nucor Corp;0,0789%;Basic Materials;US;4.744.832,69 USD;21.061
MSTR;Strategy Inc;0,0786%;Technology;US;4.724.921,10 USD;28.558
FAST;Fastenal Co;0,0785%;Basic Materials;US;4.719.267,48 USD;105.036
FERG;Ferguson Enterprises Inc;0,078%;Industrials;US;4.688.405,23 USD;17.513
EA;Electronic Arts Inc;0,0775%;Consumer Discretionary;US;4.661.390,58 USD;23.034
GWW;WW Grainger Inc;0,0773%;Industrials;US;4.645.400,00 USD;4000
ZTS;Zoetis Inc;0,0772%;Health Care;US;4.642.603,57 USD;40.381
ADSK;Autodesk Inc;0,0768%;Technology;US;4.618.419,00 USD;19.487
XEL;Xcel Energy Inc;0,0749%;Utilities;US;4.503.189,60 USD;54.288
MCHP;Microchip Technology Inc;0,0744%;Technology;US;4.475.103,06 USD;48.166
NU;NU Holdings Ltd/Cayman Islands;0,0738%;Financials;US;4.433.891,84 USD;306.208
EW;Edwards Lifesciences Corp;0,0733%;Health Care;US;4.406.545,50 USD;52.773
PSA;Public Storage;0,0728%;Real Estate;US;4.375.241,70 USD;14.466
F;Ford Motor Co;0,0718%;Consumer Discretionary;US;4.316.111,52 USD;357.294
CLS;Celestica Inc;0,0717%;Technology;CA;4.307.054,71 USD;10.512
EBAY;eBay Inc;0,0713%;Consumer Discretionary;US;4.285.106,80 USD;41.410
EXC;Exelon Corp;0,0709%;Utilities;US;4.261.709,34 USD;92.666
ROK;Rockwell Automation Inc;0,0703%;Industrials;US;4.224.449,21 USD;10.331
CAH;Cardinal Health Inc;0,0702%;Health Care;US;4.218.092,72 USD;21.869
FITB;Fifth Third Bancorp;0,07%;Financials;US;4.208.054,76 USD;82.901
WAB;Westinghouse Air Brake Technologies Corp;0,0698%;Industrials;US;4.195.440,05 USD;15.545
SNOW;Snowflake Inc;0,0689%;Technology;US;4.142.410,38 USD;30.354
CMG;Chipotle Mexican Grill Inc;0,0682%;Consumer Discretionary;US;4.101.573,30 USD;120.670
IDXX;IDEXX Laboratories Inc;0,068%;Health Care;US;4.088.792,80 USD;7291
YUM;Yum! Brands Inc;0,0677%;Consumer Discretionary;US;4.072.352,20 USD;25.508
MET;MetLife Inc;0,0677%;Financials;US;4.072.123,80 USD;50.838
ATD;Alimentation Couche-Tard Inc;0,0674%;Consumer Discretionary;CA;4.053.542,37 USD;68.657
FNV;Franco-Nevada Corp;0,0671%;Basic Materials;CA;4.033.578,88 USD;17.519
AMP;Ameriprise Financial Inc;0,0661%;Financials;US;3.973.042,72 USD;8368
