;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Core Stoxx Europe 600 UCITS ETF Acc;;;;;
;Codice ISIN;LU0908500753;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 05/06/2026;19.567,83 mln EUR;;;;;
;Valuta di riferimento;EUR;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 05/06/2026. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;LU1598757687;ARCELORMITTAL SA AMSTERDAM;EQUITY;EUR; 0,20%;Materiali;Lussemburgo
;FR0000120321;L OREAL;EQUITY;EUR; 0,20%;Beni di prima necessità;Francia
;CH0014852781;SWISS LIFE HOLDINGS AG;EQUITY;CHF; 0,20%;Finanziari;Svizzera
;ES0167050915;ACS ACTIVIDADES CONS Y SERV;EQUITY;EUR; 0,20%;Industrali;Spagna
;FR0010208488;ENGIE;EQUITY;EUR; 0,20%;Beni di pubblica utilità;Francia
;CH0418792922;SIKA AG-REG;EQUITY;CHF; 0,20%;Materiali;Svizzera
;NL0012969182;ADYEN NV;EQUITY;EUR; 0,20%;Finanziari;Paesi Bassi
;DE000CBK1001;COMMERZBANK AG;EQUITY;EUR; 0,19%;Finanziari;Germania
;ES0173516115;REPSOL SA;EQUITY;EUR; 0,19%;Energia;Spagna
;BE0003565737;KBC GROUP NV;EQUITY;EUR; 0,19%;Finanziari;Belgio
;GB00B1YW4409;3I GROUP PLC;EQUITY;GBP; 0,19%;Finanziari;Regno Unito
;FR001400U6U4;ENGIE PRIME DE FIDELITE 2027;EQUITY;EUR; 0,19%;Beni di pubblica utilità;Francia
;FR0014010OO5;AIR LIQUIDE PRIME DE FIDELITE 2028;EQUITY;EUR; 0,19%;Materiali;Francia
;GB00BH4HKS39;VODAFONE GROUP PLC;EQUITY;GBP; 0,19%;Servizi di comunicazione;Regno Unito
;ES0109067019;AMADEUS IT GROUP SA;EQUITY;EUR; 0,18%;Beni voluttuari;Spagna
;SE0012853455;EQT AB;EQUITY;SEK; 0,18%;Finanziari;Svezia
;CH0010645932;GIVAUDAN-REG;EQUITY;CHF; 0,18%;Materiali;Svizzera
;DK0061539921;VESTAS WIND SYSTEMS A/S;EQUITY;DKK; 0,18%;Industrali;Dinamarca
;GB0004544929;IMPERIAL BRANDS PLC;EQUITY;GBP; 0,18%;Beni di prima necessità;Regno Unito
;DE0006047004;HEIDELBERGCEMENT AG;EQUITY;EUR; 0,18%;Materiali;Germania
