;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Prime Japan UCITS ETF DR (D);;;;;
;Codice ISIN;LU1931974775;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 05/06/2026;680.212,03 mln JPY;;;;;
;Valuta di riferimento;JPY;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 05/06/2026. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;JP3762800005;NOMURA RESEARCH INSTITUTE;EQUITY;JPY; 0,21%;Information Technology;Giappone
;JP3420600003;SEKISUI HOUSE LTD JPY50;EQUITY;JPY; 0,21%;Beni voluttuari;Giappone
;JP3300200007;KONAMI GROUP CORP;EQUITY;JPY; 0,21%;Servizi di comunicazione;Giappone
;JP3526600006;CHUBU ELECTRIC POWER CO INC;EQUITY;JPY; 0,20%;Beni di pubblica utilità;Giappone
;JP3976300008;RYOHIN KEIKAKU CO LTD;EQUITY;JPY; 0,20%;Beni voluttuari;Giappone
;JP3305990008;YOKOHAMA FINANCIAL GROUP INC;EQUITY;JPY; 0,20%;Finanziari;Giappone
;JP3982800009;ROHM CO LTD;EQUITY;JPY; 0,19%;Information Technology;Giappone
;JP3436120004;SBI HOLDINGS INC;EQUITY;JPY; 0,19%;Finanziari;Giappone
;JP3906000009;MINEBEA MITSUMI INC;EQUITY;JPY; 0,18%;Industrali;Giappone
;JP3738600000;NITERRA CO LTD;EQUITY;JPY; 0,17%;Beni voluttuari;Giappone
;JP3639650005;PAN PACIFIC INTERNATIONAL HO;EQUITY;JPY; 0,17%;Beni voluttuari;Giappone
;JP3293330001;KOKUSAI ELECTRIC CORP;EQUITY;JPY; 0,17%;Information Technology;Giappone
;JP3932000007;YASKAWA ELECTRIC CORP;EQUITY;JPY; 0,17%;Industrali;Giappone
;JP3621000003;TORAY INDUSTRIES INC;EQUITY;JPY; 0,17%;Materiali;Giappone
;JP3511800009;CHIBA BANK LTD/THE;EQUITY;JPY; 0,17%;Finanziari;Giappone
;JP3695200000;NGK INSULATORS  JPY50;EQUITY;JPY; 0,17%;Industrali;Giappone
;JP3112000009;AGC INC;EQUITY;JPY; 0,16%;Industrali;Giappone
;JP3814800003;SUBARU CORP;EQUITY;JPY; 0,15%;Beni voluttuari;Giappone
;JP3252200005;KYOTO FINANCIAL GROUP INC;EQUITY;JPY; 0,15%;Finanziari;Giappone
;JP3358800005;SHIMIZU CORP;EQUITY;JPY; 0,15%;Industrali;Giappone
;JP3897700005;MITSUBISHI CHEMICAL CORP;EQUITY;JPY; 0,14%;Materiali;Giappone
;JP3862400003;MAKITA CORP;EQUITY;JPY; 0,14%;Industrali;Giappone
;JP3351500008;SHIZUOKA FINANCIAL GROUP INC;EQUITY;JPY; 0,14%;Finanziari;Giappone
;JP3173400007;OBIC CO LTD;EQUITY;JPY; 0,14%;Information Technology;Giappone
;JP3429800000;ANA HOLDINGS INC;EQUITY;JPY; 0,14%;Industrali;Giappone
;JP3805010000;FUKUOKA FINANCIAL GROUP INC;EQUITY;JPY; 0,14%;Finanziari;Giappone
;JP3117700009;MEBUKI FINANCIAL GROUP INC;EQUITY;JPY; 0,13%;Finanziari;Giappone
;JP3102000001;AISIN CORP;EQUITY;JPY; 0,13%;Beni voluttuari;Giappone
;JP3358000002;SHIMANO INC  JPY50;EQUITY;JPY; 0,13%;Beni voluttuari;Giappone
;JP3894900004;ISETAN MITSUKOSHI HOLDINGS;EQUITY;JPY; 0,13%;Beni voluttuari;Giappone
;JP3137200006;ISUZU MOTORS LTD;EQUITY;JPY; 0,13%;Beni voluttuari;Giappone
;JP3705200008;JAPAN AIRLINES CO LTD;EQUITY;JPY; 0,12%;Industrali;Giappone
;JP3596200000;TOTO LTD;EQUITY;JPY; 0,12%;Industrali;Giappone
;JP3955000009;YOKOGAWA ELECTRIC CORP;EQUITY;JPY; 0,12%;Information Technology;Giappone
;JP3142500002;IDEMITSU KOSAN CO LTD;EQUITY;JPY; 0,12%;Energy;Giappone
;JP3967200001;RAKUTEN GROUP INC;EQUITY;JPY; 0,12%;Beni voluttuari;Giappone
;JP3197800000;OMRON CORP;EQUITY;JPY; 0,12%;Information Technology;Giappone
;JP3663900003;SOJITZ CORP;EQUITY;JPY; 0,12%;Industrali;Giappone
;JP3659000008;WEST JAPAN RAILWAY CO;EQUITY;JPY; 0,12%;Industrali;Giappone
;JP3688370000;NIPPON EXPRESS HOLDINGS INC;EQUITY;JPY; 0,12%;Industrali;Giappone
;JP3885400006;MISUMI GROUP INC;EQUITY;JPY; 0,12%;Industrali;Giappone
;JP3240400006;KIKKOMAN CORPORATION;EQUITY;JPY; 0,12%;Beni di prima necessità;Giappone
;JP3942800008;YAMAHA MOTOR;EQUITY;JPY; 0,12%;Beni voluttuari;Giappone
;JP3499800005;MITSUBISHI UFJ LEASE FINANCE;EQUITY;JPY; 0,12%;Finanziari;Giappone
;JP3397150008;FOOD & LIFE COMPANIES LTD;EQUITY;JPY; 0,12%;Beni voluttuari;Giappone
;JP3933800009;LY CORP;EQUITY;JPY; 0,12%;Servizi di comunicazione;Giappone
;JP3629000005;TOPPAN HOLDINGS INC;EQUITY;JPY; 0,11%;Industrali;Giappone
