05-giu-2026;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;05/06/2026;;;;;;;;;;
Number of Securities;3.063,00;;;;;;;;;;
Shares Outstanding;773.413.045,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
MARUTI;MARUTI SUZUKI INDIA LTD;Consumi Discrezionali;Azionario;50.918.866,61;0,12;50.918.866,61;370.425,00;137,46;India;National Stock Exchange Of India;INR
TITAN;TITAN COMPANY LTD;Consumi Discrezionali;Azionario;50.490.793,90;0,11;50.490.793,90;1.125.160,00;44,87;India;National Stock Exchange Of India;INR
TATASTEEL;TATA STEEL LTD;Materiali;Azionario;50.341.490,86;0,11;50.341.490,86;23.113.761,00;2,18;India;National Stock Exchange Of India;INR
6160;BEONE MEDICINES AG;Salute;Azionario;49.974.281,06;0,11;49.974.281,06;2.402.092,00;20,80;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
3231;WISTRON CORP;IT;Azionario;49.462.686,53;0,11;49.462.686,53;9.117.188,00;5,43;Taiwan;Taiwan Stock Exchange;TWD
2344;WINBOND ELECTRONICS CORP;IT;Azionario;49.332.013,13;0,11;49.332.013,13;9.598.274,00;5,14;Taiwan;Taiwan Stock Exchange;TWD
MAYBANK;MALAYAN BANKING;Finanziari;Azionario;48.844.260,18;0,11;48.844.260,18;18.217.100,00;2,68;Malesia;Bursa Malaysia;MYR
6223;MPI CORP;IT;Azionario;48.652.104,25;0,11;48.652.104,25;266.000,00;182,90;Taiwan;Gretai Securities Market;TWD
3750;CONTEMPORARY AMPEREX TECHNOLOGY LT;Industriali;Azionario;48.577.611,57;0,11;48.577.611,57;535.300,00;90,75;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
2886;MEGA FINANCIAL HOLDING LTD;Finanziari;Azionario;48.382.993,47;0,11;48.382.993,47;36.352.986,00;1,33;Taiwan;Taiwan Stock Exchange;TWD
HINDUNILVR;HINDUSTAN UNILEVER LTD;Generi di largo consumo;Azionario;48.115.527,26;0,11;48.115.527,26;2.153.150,00;22,35;India;National Stock Exchange Of India;INR
2884;E.SUN FINANCIAL HOLDING LTD;Finanziari;Azionario;47.953.657,05;0,11;47.953.657,05;45.321.598,00;1,06;Taiwan;Taiwan Stock Exchange;TWD
SCCO;SOUTHERN COPPER CORP;Materiali;Azionario;47.920.473,65;0,11;47.920.473,65;277.045,00;172,97;Peru;New York Stock Exchange Inc.;USD
